ciudad,sector,pmc,ccmc,ap,dsc,bps,ac
Guayaquil,Abel Gilbert,57.23563259331107,0.0,3000.0,0.05474831382908152,1.8666666666666667,0.0
Guayaquil,Acacias,39.84598141740976,0.0,245.0,0.03557569659339772,2.2,1.0
Guayaquil,Academia Logos,92.8790406719681,6.305154693321907e-06,665.921052631579,0.12479386277802584,2.7169811320754715,4.0
Guayaquil,Acuarela,70.53556371555624,5.510884702960846e-06,390.6880733944954,0.06229834766356659,2.263888888888889,7.0
Guayaquil,Alborada,67.46761655205869,4.15704405006083e-06,389.19282511210764,0.06248465512883742,2.0669099756690996,113.0
Guayaquil,Altos del Rio,65.74878772220768,3.416190910891522e-05,890.9090909090909,0.14741863789901494,3.16,0.0
Guayaquil,AquaMarina,338.41273397647126,0.0,0.0,0.047269908636461674,6.25,0.0
Guayaquil,Arcadia,122.75027114545333,2.6530332278971545e-05,0.0,0.12206479279376334,3.4,0.0
Guayaquil,Atarazana,101.84414546213456,1.2519775550614385e-06,617.6017897091723,0.020486501520676343,2.236541598694943,19.0
Guayaquil,Bali,94.35879073452308,9.025328712485317e-06,0.0,0.144708504284348,4.555555555555555,0.0
Guayaquil,Barrio Lindo,58.048406160284365,0.0,1710.0,0.036450826554090404,3.5324675324675323,2.0
Guayaquil,Barrio Orellana,30.759420910276383,0.0,407.42957746478874,0.014923143779439202,1.4200913242009132,19.0
Guayaquil,Bastion Popular,272.26426896973464,4.2733849231510313e-07,2718.181818181818,0.1134857037750541,2.9926470588235294,1.0
Guayaquil,Batallon del Suburbio,45.106947271440454,0.0,346.42857142857144,0.06334072240764715,2.889830508474576,3.0
Guayaquil,Bellavista,102.69692425052283,1.5575397600580285e-06,386.9230769230769,0.03289968152151014,2.5102880658436213,0.0
Guayaquil,Bello Horizonte,113.85140227485816,1.7633575932433171e-06,694.6666666666666,0.10037683731678165,3.125,1.0
Guayaquil,Biblios,184.3270143901692,0.0,1050.0,0.06029622202591262,4.8,1.0
Guayaquil,Bosques de Castilla,140.74135577916047,1.0427469696518069e-05,850.0,0.05571744365187602,3.0,1.0
Guayaquil,Bosques de la Costa,118.45739199452436,2.2253250386678407e-06,936.8045977011494,0.08858575451982213,2.986111111111111,0.0
Guayaquil,Bosques del Salado,246.79920989229188,2.2437104099384707e-05,823.3333333333334,0.04931388965186472,2.563025210084034,1.0
Guayaquil,Bougainville,129.02891007311845,0.0,1200.0,0.06389413606882512,3.5,0.0
Guayaquil,Camino Real,207.3678911889404,2.9440143263510514e-05,4200.0,0.060055517333140844,5.5,0.0
Guayaquil,Camino del Rio,128.79850130513074,0.0,1075.0,0.07048949562001217,3.111111111111111,1.0
Guayaquil,Casa Club,88.94738480858946,4.640775209617619e-05,700.0,0.10675981532297263,2.8461538461538463,0.0
Guayaquil,Ceibos,108.70473103707566,3.695569011505269e-06,581.4401114206128,0.066513176033339,2.860536735591729,33.0
Guayaquil,Centenario,114.24898211969983,1.6216756562119336e-06,441.14285714285717,0.026979996826552215,3.3225806451612905,1.0
Guayaquil,Central Park,132.48504159293412,1.4169708712086602e-05,1150.0,0.06779998265828062,3.5,0.0
Guayaquil,Cerro Colorado,263.92277060410595,1.0617080255414814e-06,8333.333333333334,0.10054802136649284,4.857142857142857,0.0
Guayaquil,Cerro del Carmen,102.08592786034002,0.0,1203.088888888889,0.014105236153307058,1.5633802816901408,6.0
Guayaquil,Chongon,87.59655769429689,1.4311167518835983e-07,628.2919708029198,0.20330926839739263,2.778787878787879,0.0
Guayaquil,Ciudad Celeste,122.48806968375375,1.9953562706004028e-06,1038.888888888889,0.12938171829826509,4.125,0.0
Guayaquil,Ciudad Colon,82.17090933622555,5.833449961285914e-06,788.062827225131,0.04976291022524403,1.568840579710145,42.0
Guayaquil,Ciudad Santiago,27.619845413287504,4.427595409673033e-06,241.6,0.18154960449219457,1.2839506172839505,0.0
Guayaquil,Ciudad del Rio 1,56.82589168632313,7.173230217272207e-06,667.5757575757576,0.12938871064959895,2.5816326530612246,2.0
Guayaquil,Ciudad del Rio 2,62.32557174067597,1.2953550146316985e-05,647.5,0.13632890766309216,2.75,0.0
Guayaquil,Ciudadela 9 de Octubre,64.26244544657267,2.516043022990555e-06,294.54545454545456,0.040190634990591584,2.2222222222222223,0.0
Guayaquil,Ciudadela Adace,94.59900571351471,0.0,829.6219839142091,0.037526622327603454,1.5028790786948176,80.0
Guayaquil,Ciudadela Bolivariana,143.29652993697292,0.0,626.2112676056338,0.019135622376102866,2.488095238095238,0.0
Guayaquil,Ciudadela Caracol,26.3050010119304,0.0,180.0,0.12033297643970671,1.9344262295081966,0.0
Guayaquil,Ciudadela Estrella del Mar,51.265950877265816,0.0,44750.0,0.09867742542639675,2.7,0.0
Guayaquil,Ciudadela La FAE,59.20225288573143,0.0,679.047619047619,0.027963040594729507,3.1728395061728394,0.0
Guayaquil,Ciudadela Los Alamos,62.45178830843394,3.732415431140805e-06,393.9166666666667,0.06904978848612928,1.9414893617021276,3.0
Guayaquil,Ciudadela Modelo,80.64306879569904,5.892107368606732e-06,2028.0,0.022455029240819407,2.769230769230769,1.0
Guayaquil,Ciudadela Paraiso,83.71149325399693,7.515171740413323e-06,388.735632183908,0.0489692675237404,1.7079646017699115,3.0
Guayaquil,Ciudadela Simon Bolivar,81.0270834090119,1.2122619358475043e-05,410.28985507246375,0.04244116145139425,1.5256410256410255,10.0
Guayaquil,Ciudadela Vernaza,86.90359598936314,1.1389639155816212e-05,658.7274436090225,0.04289439906323015,1.7407912687585265,81.0
Guayaquil,Colinas de la Alborada,46.0817535975423,3.3750724709877577e-06,292.39130434782606,0.0757814960598761,1.6808510638297873,0.0
Guayaquil,Colinas de la Florida,41.473578237788075,0.0,400.0,0.1017177351220238,1.5,1.0
Guayaquil,Colinas del Sol,41.334218095860024,2.3452899803852165e-06,2801.25,0.11590843409547716,2.08974358974359,0.0
Guayaquil,Condor,161.88170311222345,8.264753093557919e-06,400.7857142857143,0.07447577665767745,4.294642857142857,2.0
Guayaquil,Costabrisa,71.40871739119153,1.5780261218510605e-06,675.0,0.16900013627057295,2.8529411764705883,0.0
Guayaquil,Costalmar 2,88.09991255883466,0.0,640.9090909090909,0.16776461716053556,2.739130434782609,0.0
Guayaquil,Cristo del Consuelo,34.27330423817209,0.0,350.0,0.03765568381823414,2.282051282051282,1.0
Guayaquil,Cuba,120.5805885802357,3.091950823888206e-06,285.0,0.03728803861277932,3.6,0.0
Guayaquil,Ecocity,30.304254323327594,0.0,250.0,0.1398868601849796,1.3111111111111111,0.0
Guayaquil,El Condado,100.67544556667883,1.4586511132715159e-05,557.7777777777778,0.15300316701225433,3.5869565217391304,0.0
Guayaquil,El Cortijo,403.2153439784952,0.0,0.0,0.12879473359153976,5.0,0.0
Guayaquil,El Fortin,1457.4314611756035,1.5862147049403067e-06,560.0,0.11035754811111874,1.9047619047619047,0.0
Guayaquil,El Rio,371.53413838018486,6.973426299637356e-06,0.0,0.06407604502835937,5.0,0.0
Guayaquil,Entre Rios,118.96004691205546,1.963027296502221e-06,616.6666666666666,0.05100933044185257,2.4324324324324325,6.0
Guayaquil,Estancias del Rio,195.9955727118326,0.0,2200.0,0.13198514597839825,4.526315789473684,0.0
Guayaquil,Estero Salado,44.641698797619114,0.0,0.0,0.06489425977529638,3.5,0.0
Guayaquil,Febres Cordero,105.26772550973439,0.0,448.8659793814433,0.03989390731805842,2.719047619047619,14.0
Guayaquil,Flor de Bastion,17.00864724798176,1.283119881731745e-07,0.0,0.13074157850610166,1.9444444444444444,0.0
Guayaquil,Floresta,38.36277329188433,3.6038723117539368e-06,32200.0,0.057729962783163065,3.669811320754717,0.0
Guayaquil,Florida,49.783051471725074,1.6511889039432343e-06,1659.0697674418604,0.09199405558533875,2.725609756097561,1.0
Guayaquil,Fuentes del Rio,74.71827190458644,8.139219338960187e-06,337.14285714285717,0.13735848100977785,1.9285714285714286,3.0
Guayaquil,Fuerte Huancavilca,167.04635679109086,3.3728006278470617e-07,0.0,0.09402054093493814,3.0,0.0
Guayaquil,Garzota,93.91411928665597,8.214626195761995e-06,436.9787644787645,0.049669777775424695,2.0791044776119403,36.0
Guayaquil,Geranios 1,17.165453215084508,0.0,0.0,0.11602746611999293,2.0,0.0
Guayaquil,Geranios 2,68.49424284725606,0.0,350.0,0.120892333889543,3.2363636363636363,0.0
Guayaquil,Girasol,247.25740914681293,1.2183240140817091e-05,592.8571428571429,0.061868326303338904,1.8181818181818181,5.0
Guayaquil,Guanguala,84.21875203475362,2.177144019378904e-06,271.30434782608694,0.03887751530667684,3.460526315789474,1.0
Guayaquil,Guasmo Este,29.604293910339468,0.0,587.1428571428571,0.08091289844620864,2.7235023041474653,2.0
Guayaquil,Guasmo Norte - Rio Guayas,35.90594818507492,0.0,179.8148148148148,0.05966338240644458,2.34640522875817,0.0
Guayaquil,Guasmo Oeste,48.648592609506146,1.0815363323775349e-06,367.0,0.06702292666010255,2.4669421487603307,1.0
Guayaquil,Guasmo Sur - La Union,34.99333163813369,0.0,53000.0,0.0710885687214154,3.16,0.0
Guayaquil,Guayacanes,65.55831324699095,5.5351499034379e-06,335.0,0.07727126345915633,2.601336302895323,0.0
Guayaquil,Huancavilca Norte,44.00140435181966,6.77989618418365e-06,433.48,0.09937301489551567,2.12,14.0
Guayaquil,Huancavilca Sur,56.435378364169594,0.0,252.85714285714286,0.043139941126360846,3.7529411764705882,0.0
Guayaquil,Isla Sol,371.5053372841864,1.019280658069321e-05,0.0,0.052314081521847695,4.5,0.0
Guayaquil,Isla Trinitaria,39.66797106557668,0.0,500.0,0.06207779837992746,2.5454545454545454,0.0
Guayaquil,Jardines del Salado,76.41890804925767,0.0,440.0,0.06542993955604391,4.2,1.0
Guayaquil,Juan Montalvo,42.20379679479528,1.7881244653535782e-06,509.27272727272725,0.08130162462224365,2.1615720524017465,1.0
Guayaquil,Kennedy,47.46535824930852,0.0,404.89403973509934,2.4881377537501836,2.274636510500808,22.0
Guayaquil,La Aurora,55.66261818828133,1.2095622581897896e-05,634.3396226415094,0.14271553223801003,2.7777777777777777,7.0
Guayaquil,La Joya,53.93469310795707,7.253662805871075e-07,386.80645161290323,0.16365258016712764,2.6191709844559585,1.0
Guayaquil,La Kennedy,87.54164269164848,4.84877399042723e-06,571.796223100571,0.035097391912972474,1.9606112054329372,186.0
Guayaquil,La Perla,55.31090480416119,0.0,469.6875,0.13954972695528786,2.7664670658682633,4.0
Guayaquil,La Puntilla,69.47625484315728,0.0,572.8148148148148,0.042740137679505484,2.1948051948051948,10.0
Guayaquil,La Rioja,59.429153086469,0.0,447.77777777777777,0.15101283218965036,3.034934497816594,0.0
Guayaquil,Lago Capeira,119.57478286339011,0.0,350.0,0.2118080789808978,4.786516853932584,0.0
Guayaquil,Laguna Club,375.84626526479207,3.518877720508302e-06,1075.0,0.10906581024154546,4.327272727272727,0.0
Guayaquil,Laguna Dorada,214.1361487485794,2.137479823322419e-05,0.0,0.05824380414198139,3.0,0.0
Guayaquil,Laguna Sol,276.6904834803289,0.0,0.0,0.1113483765249829,3.857142857142857,0.0
Guayaquil,Las Americas,101.54823355273794,2.463075178812148e-06,740.6060606060606,0.02735864443124226,3.2142857142857144,3.0
Guayaquil,Las Peñas,772.3685917561403,0.0,1666.6666666666667,0.014266339306915909,5.277777777777778,2.0
Guayaquil,Las Piramides,156.59567338593394,3.925667632620611e-06,1300.0,0.08151088596339498,3.2,0.0
Guayaquil,Las Riveras,166.88177909967106,1.3860577097232844e-05,1200.0,0.05591926525327863,4.125,0.0
Guayaquil,Limonal,187.2071239900156,0.0,220.0,0.06383535203081439,8.5,0.0
Guayaquil,Los Esteros,50.43485925086014,0.0,352.72727272727275,0.05447875229509818,3.2635658914728682,0.0
