ingpc_mean,ciudad,sector,pmc,ccmc,ap,dsc,bps,ac
186.58240398839652,Guayaquil,Abel Gilbert,57.23563259331107,0.0,3000.0,0.05474831382908152,1.8666666666666667,0.0
297.9176026957638,Guayaquil,Acacias,39.84598141740976,0.0,245.0,0.03557569659339772,2.2,1.0
786.9315789473684,Guayaquil,Academia Logos,92.8790406719681,6.305154693321907e-06,665.921052631579,0.12479386277802584,2.7169811320754715,4.0
422.23723963064566,Guayaquil,Alborada,67.46761655205869,4.15704405006083e-06,389.19282511210764,0.06248465512883742,2.0669099756690996,113.0
786.9315789473684,Guayaquil,Arcadia,122.75027114545333,2.6530332278971545e-05,0.0,0.12206479279376334,3.4,0.0
191.0062546405107,Quito,Argelia,549.9651211161242,4.232569320028879e-07,1660.2790697674418,0.06268300133798288,2.1553398058252426,9.0
333.0939243942357,Quito,Atahualpa,761.8848311139758,2.031381431716563e-06,1075.6,0.034903665101418235,2.6666666666666665,11.0
553.194132699773,Guayaquil,Atarazana,101.84414546213456,1.2519775550614385e-06,617.6017897091723,0.020486501520676343,2.236541598694943,19.0
254.8886590259018,Guayaquil,Barrio Lindo,58.048406160284365,0.0,1710.0,0.036450826554090404,3.5324675324675323,2.0
178.88144243130114,Guayaquil,Bastion Popular,272.26426896973464,4.2733849231510313e-07,2718.181818181818,0.1134857037750541,2.9926470588235294,1.0
182.72538443704943,Guayaquil,Batallon del Suburbio,45.106947271440454,0.0,346.42857142857144,0.06334072240764715,2.889830508474576,3.0
377.458867266827,Quito,Belisario Quevedo,604.2735489423474,7.950170164365027e-07,404.7229102167183,0.028128332179072443,1.9623467600700526,121.0
634.4200775294526,Guayaquil,Bellavista,102.69692425052283,1.5575397600580285e-06,386.9230769230769,0.03289968152151014,2.5102880658436213,0.0
474.1011911963817,Quito,Carcelen,721.6674591994451,1.025747820934205e-06,490.0,0.14082782553380016,3.0357439733998337,14.0
245.8502684407096,Quito,Centro Historico,637.4459487755277,1.8321967444486118e-06,668.25,0.006735162174864813,2.671957671957672,9.0
239.41285395972892,Guayaquil,Cerro del Carmen,102.08592786034002,0.0,1203.088888888889,0.014105236153307058,1.5633802816901408,6.0
270.9324884792627,Quito,Chillogallo,396.69895177606577,0.0,305.0,0.08443088373242155,2.4358974358974357,5.0
366.230551646632,Quito,Chimbacalle,737.4984211031563,8.360260971410652e-07,388.3,0.022904466174762123,3.3076923076923075,6.0
418.9949567573312,Guayaquil,Ciudadela 9 de Octubre,64.26244544657267,2.516043022990555e-06,294.54545454545456,0.040190634990591584,2.2222222222222223,0.0
146.42170864134025,Guayaquil,Colinas de la Florida,41.473578237788075,0.0,400.0,0.1017177351220238,1.5,1.0
262.1381635116225,Quito,Comite del Pueblo,526.235252814767,9.674729703845265e-07,1842.99,0.11552079852263099,2.65,7.0
482.9522727272727,Guayaquil,Condor,161.88170311222345,8.264753093557919e-06,400.7857142857143,0.07447577665767745,4.294642857142857,2.0
444.6016975767024,Quito,Cotocollao,509.8239201187966,1.142183326118916e-06,392.2369668246445,0.10280712420230197,2.38755980861244,25.0
213.67445863575887,Guayaquil,Cristo del Consuelo,34.27330423817209,0.0,350.0,0.03765568381823414,2.282051282051282,1.0
157.93762601497315,Guayaquil,El Fortin,1457.4314611756035,1.5862147049403067e-06,560.0,0.11035754811111874,1.9047619047619047,0.0
308.59761925929695,Quito,El Inca,618.1223400851173,2.3395980447461705e-06,502.3353500432152,0.0669239769302369,2.006260671599317,119.0
244.2328127953128,Quito,El Pintado,669.2886627627917,6.576376736693591e-07,257.75,0.04901145733992404,2.422222222222222,3.0
1054.86,Guayaquil,El Rio,371.53413838018486,6.973426299637356e-06,0.0,0.06407604502835937,5.0,0.0
228.2985551781601,Quito,El condado,789.1705465425107,1.9162223835879107e-06,511.53846153846155,0.1263644456573383,2.689189189189189,0.0
164.3390208257216,Guayaquil,Estero Salado,44.641698797619114,0.0,0.0,0.06489425977529638,3.5,0.0
246.1937420901874,Guayaquil,Febres Cordero,105.26772550973439,0.0,448.8659793814433,0.03989390731805842,2.719047619047619,14.0
137.59788704750383,Guayaquil,Flor de Bastion,17.00864724798176,1.283119881731745e-07,0.0,0.13074157850610166,1.9444444444444444,0.0
236.2172511027578,Guayaquil,Floresta,38.36277329188433,3.6038723117539368e-06,32200.0,0.057729962783163065,3.669811320754717,0.0
195.3540048620079,Guayaquil,Florida,49.783051471725074,1.6511889039432343e-06,1659.0697674418604,0.09199405558533875,2.725609756097561,1.0
501.0999745028047,Guayaquil,Garzota,93.91411928665597,8.214626195761995e-06,436.9787644787645,0.049669777775424695,2.0791044776119403,36.0
210.5896534148828,Quito,Guamani,353.21694968918894,1.2570260840331906e-07,1326.3235294117646,0.12606787867551997,2.2635135135135136,0.0
334.0624198717949,Guayaquil,Guanguala,84.21875203475362,2.177144019378904e-06,271.30434782608694,0.03887751530667684,3.460526315789474,1.0
213.07176921337367,Guayaquil,Guasmo Norte - Rio Guayas,35.90594818507492,0.0,179.8148148148148,0.05966338240644458,2.34640522875817,0.0
235.10977077408077,Guayaquil,Guasmo Oeste,48.648592609506146,1.0815363323775349e-06,367.0,0.06702292666010255,2.4669421487603307,1.0
174.52961033950618,Guayaquil,Guasmo Sur - La Union,34.99333163813369,0.0,53000.0,0.0710885687214154,3.16,0.0
323.5776628400448,Guayaquil,Guayacanes,65.55831324699095,5.5351499034379e-06,335.0,0.07727126345915633,2.601336302895323,0.0
408.4221671584477,Guayaquil,Huancavilca Norte,44.00140435181966,6.77989618418365e-06,433.48,0.09937301489551567,2.12,14.0
