Descripcion_1,Descripcion_2,precio,mt2,latitud,longitud,Nombre_sector
Lote,Lote,950000,1123,-0.2055747821847123,-78.49189483719991,Mariscal Sucre
Lote,Lote,1800000,9150,-0.1194045581898062,-78.4712337045915,Comite del Pueblo
Casa,Casa,108500,143,-0.08761245909093539,-78.46893007528706,Carcelen
Departamento,Departamento,69000,120,-0.1214422450181146,-78.49949118472546,Cotocollao
Departamento,Departamento,115000,66,-0.08761245909093539,-78.46893007528706,Carcelen
Casa,Casa,74500,211,-0.2686339058920137,-78.54011045411592,Solanda
Departamento,Departamento,235000,160,-0.174238995671413,-78.48343653079792,Iñaquito
Departamento,Departamento,41900,76,-0.1215336432149777,-78.4716052220642,Comite del Pueblo
Departamento,Departamento,70000,70,-0.07806558299341798,-78.4639125226204,Carcelen
Casa,Casa,130000,422,-0.2727073947231795,-78.523814753244,Argelia
Departamento,Departamento,260000,166,-0.1858837677145437,-78.47801654721417,Iñaquito
Departamento,Departamento,190518,60,-0.1974876575904577,-78.4801799273143,La Paz
Departamento,Departamento,149000,165,-0.1074194461873055,-78.48396529848748,Ponceano
Lote,Lote,139830,1005,-0.2995828476393161,-78.56924383982377,La Ecuatoriana
Departamento,Departamento,117601,131,-0.1161269236426893,-78.48587501319491,Ponceano
Departamento,Departamento,187500,92,-0.1736817278480912,-78.47690154046407,Iñaquito
Departamento,Departamento,244019,237,-0.1818607741943871,-78.47950675924419,Iñaquito
Casa,Casa,2050000,2630,-0.2024205081031199,-78.49407404942033,Mariscal Sucre
Local,Local,95000,81,-0.1881018512065437,-78.49597941295723,Belisario Quevedo
Departamento,Departamento,195000,195,-0.195874765534426,-78.47924531250554,La Paz
Departamento,Departamento,80194,70,-0.1888010955505145,-78.50826553255949,Belisario Quevedo
Departamento,Departamento,131301,84,-0.1871273509992423,-78.49026234831749,Iñaquito
Departamento,Departamento,115000,61,-0.08761245909093539,-78.46893007528706,Carcelen
Departamento,Departamento,105000,93,-0.121306587702066,-78.48934898243658,Ponceano
Casa,Casa,68000,162,-0.2787128671918969,-78.54480915526277,Santa Rita
Departamento,Departamento,67549,66,-0.1888010955505145,-78.50826553255949,Belisario Quevedo
Casa,Casa,163500,326,-0.2442427150818114,-78.5164270508223,Chimbacalle
Departamento,Departamento,95000,174,-0.121306587702066,-78.48934898243658,Ponceano
Local,Local,185000,85,-0.2065866426423389,-78.49214844808611,Mariscal Sucre
Departamento,Departamento,120000,130,-0.1715369584090076,-78.48531157130392,Iñaquito
Casa,Casa,400000,368,-0.08761245909093539,-78.46893007528706,Carcelen
Departamento,Departamento,55000,93,-0.2352841480523181,-78.52265040818929,Centro Historico
Departamento,Departamento,70000,86,-0.07806558299341798,-78.4639125226204,Carcelen
Departamento,Departamento,99000,138,-0.145927895431983,-78.48157827821362,Kennedy
Lote,Lote,1250000,1149,-0.121306587702066,-78.48934898243658,Ponceano
Casa,Casa,135000,168,-0.1570371345403986,-78.47925042871681,El Inca
Oficina/Consultorio,Oficina/Consultorio,24000,46,-0.2146182807181074,-78.50533100882994,San Juan
Departamento,Departamento,430000,192,-0.1701691129369726,-78.47981355724887,Iñaquito
Departamento,Departamento,78000,74,-0.08761245909093539,-78.46893007528706,Carcelen
Departamento,Departamento,75000,128,-0.1897702879846288,-78.50704691359438,Belisario Quevedo
Oficina/Consultorio,Oficina/Consultorio,320000,216,-0.1816144611382076,-78.48024669757494,Iñaquito
Departamento,Departamento,55000,106,-0.2856613389919164,-78.56500253271639,Chillogallo
Departamento,Departamento,45990,75,-0.121306587702066,-78.48934898243658,Ponceano
Departamento,Departamento,349000,500,-0.1974876575904577,-78.4801799273143,La Paz
Bodega,Bodega,679900,4289,-0.09655703804609807,-78.4764095912404,Ponceano
Lote,Lote,420000,1107,-0.2352841480523181,-78.52265040818929,Centro Historico
Departamento,Departamento,92000,200,-0.08761245909093539,-78.46893007528706,Carcelen
Lote,Lote,850000,2800,-0.09421569388658971,-78.47828848977095,Ponceano
Departamento,Departamento,148000,203,-0.09804485204867161,-78.48434292607838,Ponceano
Departamento,Departamento,91000,95,-0.08841725197874489,-78.46350420414448,Carcelen
Casa,Casa,280000,320,-0.121306587702066,-78.48934898243658,Ponceano
Departamento,Departamento,107000,94,-0.1871273509992423,-78.49026234831749,Iñaquito
Departamento,Departamento,74900,91,-0.1074194461873055,-78.48396529848748,Ponceano
Departamento,Departamento,179000,248,-0.09804485204867161,-78.48434292607838,Ponceano
Departamento,Departamento,360000,212,-0.1974876575904577,-78.4801799273143,La Paz
Casa,Casa,280000,408,-0.2781950565874727,-78.5411381917503,Turubamba
