Descripcion_1,Descripcion_2,precio,mt2,ubicacion
Departamento,Departamento,$ 52.000,83 m² Totales,"https://www.google.com/maps/@-0.1867317759769482,-78.50992365272265,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 110.000,140 m² Totales,"https://www.google.com/maps/@-0.2009305429742781,-78.48373629333584,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 135.000,100 m² Totales,"https://www.google.com/maps/@-0.1900001583377695,-78.48435497892221,13z?hl=es-ES&gl=US"
Lote,Lote,$ 300.000,6000 m² Totales,"https://www.google.com/maps/@-0.2319699572522097,-78.33708477714232,13z?hl=es-ES&gl=US"
Casa,Casa,$ 152.200,144 m² Totales,"https://www.google.com/maps/@-0.2177402871998192,-78.37750486509935,13z?hl=es-ES&gl=US"
Casa,Casa,$ 450.000,608 m² Totales,"https://www.google.com/maps/@-0.2204511296753175,-78.42347605393002,13z?hl=es-ES&gl=US"
Otro,Otro,$ 60.000,60 m² Totales,"https://www.google.com/maps/@-0.1932161779456991,-78.48820097725154,13z?hl=es-ES&gl=US"
Casa,Casa,$ 145.000,387 m² Totales,"https://www.google.com/maps/@-0.2444173807290049,-78.52322872521711,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 89.900,96 m² Totales,"https://www.google.com/maps/@-0.1226719772414814,-78.48523535293266,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 149.000,90 m² Totales,"https://www.google.com/maps/@-0.1659362635175416,-78.47285912691103,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 64.900,145 m² Totales,"https://www.google.com/maps/@-0.2186596933275373,-78.49538490105077,13z?hl=es-ES&gl=US"
Casa,Casa,$ 980.000,350 m² Totales,"https://www.google.com/maps/@-0.1561823758390654,-78.37418231004284,13z?hl=es-ES&gl=US"
Casa,Casa,$ 73.000,150 m² Totales,"https://www.google.com/maps/@-0.08748851978097093,-78.41595969652127,13z?hl=es-ES&gl=US"
Casa,Casa,$ 275.000,400 m² Totales,"https://www.google.com/maps/@-0.1649697307829903,-78.4796902484953,13z?hl=es-ES&gl=US"
Casa,Casa,$ 82.000,137 m² Totales,"https://www.google.com/maps/@-0.3247847192591767,-78.45619244271677,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 110.000,99 m² Totales,"https://www.google.com/maps/@-0.1932161779456991,-78.48820097725154,13z?hl=es-ES&gl=US"
Casa,Casa,$ 79.900,103 m² Totales,"https://www.google.com/maps/@-0.08761245909093539,-78.46893007528706,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 155.000,101 m² Totales,"https://www.google.com/maps/@-0.2182057915260144,-78.43090180765726,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 143.000,258 m² Totales,"https://www.google.com/maps/@-0.1633361032716004,-78.46316847632455,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 140.000,73 m² Totales,"https://www.google.com/maps/@-0.1959558618867123,-78.4792692459662,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 158.000,80 m² Totales,"https://www.google.com/maps/@-0.1802380322462644,-78.47913128162851,13z?hl=es-ES&gl=US"
Casa,Casa,$ 87.000,1950 m² Totales,"https://www.google.com/maps/@-0.09617783869307527,-78.42416381982578,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 129.000,167 m² Totales,"https://www.google.com/maps/@-0.1611761592168489,-78.48705157178944,13z?hl=es-ES&gl=US"
Casa,Casa,$ 145.000,25325 m² Totales,"https://www.google.com/maps/@-0.3007749226264836,-78.53862520358439,13z?hl=es-ES&gl=US"
Local,Local,$ 55.000,25 m² Totales,"https://www.google.com/maps/@-0.09617783869307527,-78.42416381982578,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio,$ 160.000,130 m² Totales,Nada
Casa,Casa,$ 294.500,300 m² Totales,"https://www.google.com/maps/@-0.02894165160782056,-78.44772805488512,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 98.000,150 m² Totales,"https://www.google.com/maps/@-0.1074194461873055,-78.48396529848748,13z?hl=es-ES&gl=US"
Casa,Casa,$ 250.000,358 m² Totales,"https://www.google.com/maps/@-0.1042516762460122,-78.5132855823496,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 110.000,132 m² Totales,Nada
Casa,Casa,$ 86.000,210 m² Totales,"https://www.google.com/maps/@-0.01031160766133524,-78.44395435246709,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 100.000,90 m² Totales,Nada
Casa,Casa,$ 195.000,436 m² Totales,"https://www.google.com/maps/@-0.2744440714476904,-78.46567925310421,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 114.000,258 m² Totales,"https://www.google.com/maps/@-0.1669719984113687,-78.47046334787593,13z?hl=es-ES&gl=US"
Casa,Casa,$ 220.000,423 m² Totales,"https://www.google.com/maps/@-0.02894165160782056,-78.44772805488512,13z?hl=es-ES&gl=US"
Casa,Casa,$ 88.499,170 m² Totales,"https://www.google.com/maps/@-0.09237033390702785,-78.44458672449603,13z?hl=es-ES&gl=US"
Casa,Casa,$ 109.900,148 m² Totales,"https://www.google.com/maps/@-0.2904170890277246,-78.4461203622453,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 127.000,120 m² Totales,"https://www.google.com/maps/@-0.1218380841254744,-78.47660262501024,13z?hl=es-ES&gl=US"
Lote,Lote,$ 60.000,1100 m² Totales,Nada
Departamento,Departamento,$ 130.500,119 m² Totales,Nada
Casa,Casa,$ 157.000,171 m² Totales,Nada
Casa,Casa,$ 76.800,88 m² Totales,Nada
Otro,Otro,$ 204.000,65 m² Totales,"https://www.google.com/maps/@-0.1974876575904577,-78.4801799273143,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 176.999,83 m² Totales,"https://www.google.com/maps/@-0.1914765383446484,-78.47790502974435,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 380.000,345 m² Totales,"https://www.google.com/maps/@-0.1659409242672642,-78.49416638789118,13z?hl=es-ES&gl=US"
Casa,Casa,$ 69.000,110 m² Totales,"https://www.google.com/maps/@-0.2799606301621481,-78.51494128010478,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 210.000,139 m² Totales,Nada
Departamento,Departamento,$ 200.000,131 m² Totales,"https://www.google.com/maps/@-0.1809252729495378,-78.4784600143908,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 155.000,140 m² Totales,"https://www.google.com/maps/@-0.1882940084267786,-78.47603748423195,13z?hl=es-ES&gl=US"
Lote,Lote,$ 35.000,Nada,"https://www.google.com/maps/@-0.08244088437664933,-78.40952747620088,13z?hl=es-ES&gl=US"
Lote,Lote,$ 73.000,Nada,"https://www.google.com/maps/@-0.09617783869307527,-78.42416381982578,13z?hl=es-ES&gl=US"
Local,Local,$ 35.000,20 m² Totales,Nada
Oficina/Consultorio,Oficina/Consultorio,$ 97.000,Nada,"https://www.google.com/maps/@-0.2048832427882601,-78.49311294402624,13z?hl=es-ES&gl=US"
Casa,Casa,$ 226.000,180 m² Totales,"https://www.google.com/maps/@-0.1577078755516781,-78.4391640725688,13z?hl=es-ES&gl=US"
Lote,Lote,$ 40.000,225 m² Totales,"https://www.google.com/maps/@-0.2575462283225629,-78.51682562202339,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 149.000,284 m² Totales,"https://www.google.com/maps/@-0.1095005859412116,-78.49166454929767,13z?hl=es-ES&gl=US"
Departamento,Departamento,Nada,171 m² Totales,"https://www.google.com/maps/@-0.2141124194850851,-78.49634503128681,13z?hl=es-ES&gl=US"
Lote,Lote,$ 952.380,4329 m² Totales,"https://www.google.com/maps/@-0.2180186979177588,-78.43137801272758,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 55.000,70 m² Totales,Nada
Departamento,Departamento,$ 265.000,119 m² Totales,Nada
Lote,Lote,$ 5.472.000,4560 m² Totales,"https://www.google.com/maps/@-0.1692618073417769,-78.48282755142624,13z?hl=es-ES&gl=US"
Lote,Lote,$ 707.300,3215 m² Totales,Nada
Casa,Casa,$ 235.000,289 m² Totales,Nada
Casa,Casa,$ 146.000,142 m² Totales,"https://www.google.com/maps/@-0.006938575380579903,-78.45366313132179,13z?hl=es-ES&gl=US"
Lote,Lote,$ 1.150.000,Superficie del terreno (m²): 1736.0-,"https://www.google.com/maps/@-0.1557161444420695,-78.47886185607643,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 167.109,114 m² Totales,"https://www.google.com/maps/@-0.1986441985993441,-78.44104981496972,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 155.000,117 m² Totales,"https://www.google.com/maps/@-0.2207312553469026,-78.423970600328,13z?hl=es-ES&gl=US"
Casa,Casa,$ 535.000,812 m² Totales,Nada
Departamento,Departamento,$ 115.000,119 m² Totales,"https://www.google.com/maps/@-0.1848490793143615,-78.49229133694998,13z?hl=es-ES&gl=US"
Casa,Casa,$ 295.000,381 m² Totales,"https://www.google.com/maps/@-0.2781950565874727,-78.5411381917503,13z?hl=es-ES&gl=US"
Casa,Casa,$ 92.000,614 m² Totales,"https://www.google.com/maps/@-0.3085590767541214,-78.56188440470743,13z?hl=es-ES&gl=US"
Casa,Casa,$ 87.000,140 m² Totales,"https://www.google.com/maps/@-0.09278909890454776,-78.43463452289153,13z?hl=es-ES&gl=US"
Casa,Casa,Nada,210 m² Totales,"https://www.google.com/maps/@-0.3321915072701749,-78.52843646372115,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 195.000,120 m² Totales,"https://www.google.com/maps/@-0.1816144611382076,-78.48024669757494,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio,$ 450,50 m² Totales,Nada
Casa,Casa,Nada,208 m² Totales,"https://www.google.com/maps/@-0.09130402811013263,-78.48048672329367,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 110.000,112 m² Totales,"https://www.google.com/maps/@-0.1267654283030215,-78.4880025895461,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 85.500,135 m² Totales,Nada
Departamento,Departamento,$ 63.000,114 m² Totales,"https://www.google.com/maps/@-0.1213639520821318,-78.48483726492725,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 149.000,284 m² Totales,"https://www.google.com/maps/@-0.1069833774341938,-78.49092217940509,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 40.000,45 m² Totales,"https://www.google.com/maps/@-0.09472823887285144,-78.47385788635079,13z?hl=es-ES&gl=US"
Casa,Casa,$ 89.500,150 m² Totales,"https://www.google.com/maps/@-0.07458912975576153,-78.42467719020375,13z?hl=es-ES&gl=US"
Casa,Casa,$ 360.000,Nada,Nada
Lote,Lote,$ 720.000,45000 m² Totales,"https://www.google.com/maps/@-0.2319699572522097,-78.33708477714232,13z?hl=es-ES&gl=US"
Lote,Lote,$ 160.000,1000 m² Totales,Nada
Lote,Lote,$ 46.000,76 m² Totales,"https://www.google.com/maps/@-0.1152817300626208,-78.49029035437562,13z?hl=es-ES&gl=US"
Lote,Lote,Nada,Superficie del terreno (m²): 2420.0-,"https://www.google.com/maps/@-0.1235108213368824,-78.504845525543,13z?hl=es-ES&gl=US"
Casa,Casa,$ 105.000,120 m² Totales,"https://www.google.com/maps/@-0.01689474174476828,-78.452849880363,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 40.000,118 m² Totales,"https://www.google.com/maps/@-0.1095005859412116,-78.49166454929767,13z?hl=es-ES&gl=US"
Lote,Lote,$ 800.000,Superficie del terreno (m²): 780.0-,"https://www.google.com/maps/@-0.200641028597031,-78.481992767726,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 110.000,132 m² Totales,Nada
Departamento,Departamento,$ 112.500,82 m² Totales,"https://www.google.com/maps/@-0.1974876575904577,-78.4801799273143,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 199.000,213 m² Totales,"https://www.google.com/maps/@-0.09245792114023164,-78.47840772456001,13z?hl=es-ES&gl=US"
Casa,Casa,$ 1.200.000,462 m² Totales,Nada
Departamento,Departamento,$ 65.000,70 m² Totales,"https://www.google.com/maps/@-0.1300515923420608,-78.4738537237894,13z?hl=es-ES&gl=US"
Lote,Lote,$ 298.000,Superficie del terreno (m²): 10719.0-,"https://www.google.com/maps/@-0.2781950565874727,-78.5411381917503,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 115.000,90 m² Totales,Nada
Departamento,Departamento,$ 165.000,185 m² Totales,"https://www.google.com/maps/@-0.1730585127101834,-78.47967871539046,13z?hl=es-ES&gl=US"
Casa,Casa,$ 120.000,148 m² Totales,"https://www.google.com/maps/@-0.08761245909093539,-78.46893007528706,13z?hl=es-ES&gl=US"
Casa,Casa,$ 200.000,389 m² Totales,"https://www.google.com/maps/@-0.2037192825428098,-78.3910305180803,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 49.000,96 m² Totales,"https://www.google.com/maps/@-0.1207016860884485,-78.50914734689046,13z?hl=es-ES&gl=US"
Lote,Lote,$ 770.000,Nada,Nada
Departamento,Departamento,$ 89.800,72 m² Totales,Nada
Departamento,Departamento,$ 310.000,134 m² Totales,"https://www.google.com/maps/@-0.1998175229214844,-78.44606588727088,13z?hl=es-ES&gl=US"
Casa,Casa,$ 58.500,100 m² Totales,"https://www.google.com/maps/@-0.008353854825283962,-78.4555937958102,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 149.000,209 m² Totales,Nada
Departamento,Departamento,$ 64.000,75 m² Totales,"https://www.google.com/maps/@-0.1346788846951757,-78.4937439712158,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 123.427,76 m² Totales,Nada
Departamento,Departamento,$ 218.500,153 m² Totales,"https://www.google.com/maps/@-0.1728597551252268,-78.49700829097029,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 80.000,48 m² Totales,"https://www.google.com/maps/@-0.1659362635175416,-78.47285912691103,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio,$ 1.300.000,1000000 m² Totales,"https://www.google.com/maps/@-0.1889775467490024,-78.48270910221795,13z?hl=es-ES&gl=US"
Lote,Lote,$ 170.000,2448 m² Totales,"https://www.google.com/maps/@-0.08401284151630084,-78.47434134935656,13z?hl=es-ES&gl=US"
Casa,Casa,$ 150.000,110 m² Totales,"https://www.google.com/maps/@-0.04677308350093627,-78.45524598572533,13z?hl=es-ES&gl=US"
Lote,Lote,$ 31.000,Nada,"https://www.google.com/maps/@-0.3750541511128932,-78.37125982796755,13z?hl=es-ES&gl=US"
Finca,Finca,Nada,26600 m² Totales,Nada
Departamento,Departamento,$ 160.000,146 m² Totales,"https://www.google.com/maps/@-0.1602437421705267,-78.49264552359092,13z?hl=es-ES&gl=US"
Casa,Casa,$ 79.900,90 m² Totales,"https://www.google.com/maps/@-0.2985356109775147,-78.46791626419262,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 108.000,62 m² Totales,"https://www.google.com/maps/@-0.193909930222482,-78.47703222356253,13z?hl=es-ES&gl=US"
Otro,Otro,$ 130.000,72 m² Totales,"https://www.google.com/maps/@-0.2056823895622391,-78.41973321481649,13z?hl=es-ES&gl=US"
Casa,Casa,$ 130.000,389 m² Totales,"https://www.google.com/maps/@-0.1258706275132075,-78.48068694662753,13z?hl=es-ES&gl=US"
Otro,Otro,$ 120.000,83 m² Totales,"https://www.google.com/maps/@-0.1820531476285638,-78.47714460915897,13z?hl=es-ES&gl=US"
Casa,Casa,Nada,343 m² Totales,"https://www.google.com/maps/@-0.228980434774489,-78.5009648703022,13z?hl=es-ES&gl=US"
Lote,Lote,$ 85.000,Superficie del terreno (m²): 450.0-,Nada
Casa,Casa,$ 144.000,206 m² Totales,"https://www.google.com/maps/@-0.09804485204867161,-78.48434292607838,13z?hl=es-ES&gl=US"
Casa,Casa,$ 100.000,180 m² Totales,"https://www.google.com/maps/@-0.1634538237576066,-78.49283427812256,13z?hl=es-ES&gl=US"
Casa,Casa,$ 350.000,600 m² Totales,"https://www.google.com/maps/@-0.008755461881860094,-78.45318312668508,13z?hl=es-ES&gl=US"
Otro,Otro,$ 100.000,75 m² Totales,Nada
Casa,Casa,$ 360.000,370 m² Totales,Nada
Lote,Lote,$ 115.000,Nada,"https://www.google.com/maps/@-0.2339708551793943,-78.533008215269,13z?hl=es-ES&gl=US"
Casa,Casa,$ 108.000,156 m² Totales,"https://www.google.com/maps/@-0.271173978050079,-78.4710247150509,13z?hl=es-ES&gl=US"
Casa,Casa,$ 499.900,220 m² Totales,"https://www.google.com/maps/@-0.09617783869307527,-78.42416381982578,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 98.000,Nada,"https://www.google.com/maps/@-0.1727836834321129,-78.49653707358742,13z?hl=es-ES&gl=US"
Lote,Lote,$ 160.000,1400 m² Totales,"https://www.google.com/maps/@-0.01755642890963117,-78.45277511229882,13z?hl=es-ES&gl=US"
Otro,Otro,$ 130.000,75 m² Totales,Nada
Casa,Casa,Nada,460 m² Totales,Nada
Casa,Casa,$ 125.000,172 m² Totales,Nada
Departamento,Departamento,$ 120.000,69 m² Totales,Nada
Casa,Casa,$ 174.900,191 m² Totales,Nada
Lote,Lote,$ 56.700,7127 m² Totales,Nada
Casa,Casa,$ 109.000,130 m² Totales,"https://www.google.com/maps/@-0.06561463857530725,-78.46372709697276,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 265.000,158 m² Totales,Nada
Oficina/Consultorio,Oficina/Consultorio,$ 110.000,78 m² Totales,"https://www.google.com/maps/@-0.1702602452669429,-78.48540305061624,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 140.000,85 m² Totales,"https://www.google.com/maps/@-0.1979624358031149,-78.48731794089632,13z?hl=es-ES&gl=US"
Casa,Casa,$ 87.000,140 m² Totales,"https://www.google.com/maps/@-0.09278909890454776,-78.43463452289153,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 144.000,102 m² Totales,"https://www.google.com/maps/@-0.1730060063777239,-78.4979345063783,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 69.000,96 m² Totales,"https://www.google.com/maps/@-0.1075397443736555,-78.44739418359656,13z?hl=es-ES&gl=US"
Casa,Casa,$ 69.500,100 m² Totales,Nada
Casa,Casa,$ 52.500,97 m² Totales,"https://www.google.com/maps/@-0.09617783869307527,-78.42416381982578,13z?hl=es-ES&gl=US"
Local,Local,$ 45.000,54 m² Totales,"https://www.google.com/maps/@-0.1382786056597342,-78.48102981408259,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 265.000,335 m² Totales,Nada
