Descripcion_1,Descripcion_2,precio,mt2,ubicacion
Casa,Casa en venta en Sur De Guayaquil,$ 59.000,160 m² Totales,Nada
Casa,Casa en venta en Bellavista,$ 139.800,285 m² Totales,"https://www.google.com/maps/@-2.183231448676243,-79.9121949128008,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 130.000,129 m² Totales,"https://www.google.com/maps/@-2.053137102430477,-79.91626872737436,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 84.500,90 m² Totales,"https://www.google.com/maps/@-2.096895591711425,-79.94287022431827,13z?hl=es-ES&gl=US"
Lote,Lote en venta en Norte De Guayaquil,$ 10.920.000,84000 m² Totales,"https://www.google.com/maps/@-2.104854463198649,-79.93491418199416,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Centro De Guayaquil,$ 155.000,94 m² Totales,"https://www.google.com/maps/@-2.206803651336557,-79.90063835591427,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 85.000,98 m² Totales,Nada
Casa,Casa en venta en Samanes,$ 168.000,146 m² Totales,Nada
Casa,Casa en venta en Guayaquil,$ 225.000,300 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Samanes,$ 89.500,315 m² Totales,"https://www.google.com/maps/@-2.117237514594672,-79.89270479180554,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 130.000,160 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 155.000,16590 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Kennedy Norte,$ 175.000,186 m² Totales,"https://www.google.com/maps/@-2.158832034860829,-79.90197832825389,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Urdesa central,$ 168.900,200 m² Totales,"https://www.google.com/maps/@-2.169196695973065,-79.90675719994542,13z?hl=es-ES&gl=US"
Bodega,Bodega en venta en Guayaquil,$ 268.000,550 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Sur De Guayaquil,$ 35.000,75 m² Totales,Nada
Casa,Casa en venta en Via A La Costa,$ 420.000,440 m² Totales,Nada
