neighborhood,hogares,ingpc_mean,ingpc_median,iqr,gini
Guasmo Sur - La Union,96,163.71875,159.45454545454547,114.10119047619048,0.24216148650081654
Guayacanes,44,431.15909090909093,486.3333333333333,427.5,0.3233056675020725
Huancavilca Norte,42,390.04761904761904,402.0,257.24107142857144,0.19335100662166957
Isla Trinitaria,299,171.06688963210703,158.0,125.35,0.314894166828881
Iñaquito,93,943.3225806451613,800.0,781.5,0.30724554122378583
Juan Montalvo,195,212.2153846153846,192.5,172.93333333333334,0.3039280053634121
La Ecuatoriana,80,139.6125,146.66666666666666,83.0,0.2424422508729519
La Ferroviaria,312,270.84935897435895,227.75,226.66666666666669,0.33703752167600465
La Luz,124,528.5645161290323,448.3333333333333,473.33333333333337,0.3530511339195453
La Mena,175,237.94857142857143,247.0,157.5,0.2840383276098076
La Paz,29,1110.103448275862,1150.0,712.5,0.24469765862572393
La Tola,22,282.27272727272725,300.0,197.60000000000002,0.2673400673400674
La Vicentina,92,324.0978260869565,292.85714285714283,242.8,0.2543424308572146
Las Americas,38,302.57894736842104,289.25,206.75,0.22042506248226237
Los Esteros,83,267.4578313253012,259.3333333333333,180.0,0.28596479706835815
Luz del Guayas,48,214.97916666666666,170.85,260.0,0.3355682882708273
Mapasingue,167,192.00598802395209,170.0,140.20833333333334,0.3429980830480004
MarcoPamba,101,244.44554455445544,200.0,233.8,0.31996331392222216
Mariscal Sucre,18,595.6111111111111,600.0,492.25,0.28253997865041613
Monte Sinai,79,113.25316455696202,115.0,52.261904761904745,0.1660990955174849
Mucho Lote,157,295.54140127388536,262.5,194.25,0.2673102899187349
Nueva Prosperina,125,143.104,137.28571428571428,59.0,0.21413774597495522
Orquideas,30,264.7,271.0,132.66666666666666,0.15670990219535744
Parroquia Garcia Moreno,175,259.0628571428571,256.5,97.92307692307693,0.19270715168015332
Parroquia Letamendi,170,221.3470588235294,189.7,153.5625,0.30876467305410565
Parroquia Sucre,105,299.48571428571427,215.0,284.0,0.34862121914211214
Parroquia Urdaneta,77,300.72727272727275,197.07692307692307,298.0,0.3665146392733195
Pascuales,76,243.1184210526316,202.5,158.0,0.2634762136710505
Ponceano,175,387.62285714285713,263.3333333333333,432.5,0.4091052527388288
Pradera,30,375.73333333333335,349.75,176.6875,0.29077359829666427
Prosperina,68,277.3529411764706,197.625,246.35714285714286,0.3282031688603331
Puerto Lisa,215,213.64186046511628,182.5,150.79166666666666,0.283126738186408
Quitumbe,247,212.66396761133603,175.0,214.0,0.3511027394219516
Rosales,45,363.4222222222222,360.0,265.4,0.3082195317489435
Samanes,41,368.0975609756098,379.375,339.25,0.2762600764094044
San Bartolo,91,266.032967032967,250.0,153.33333333333331,0.2708396977057393
San Carlos,22,484.6818181818182,400.0,310.75,0.2958488571355494
San Francisco,48,191.83333333333334,165.6875,165.375,0.30211953373877787
San Isidro del Inca,133,481.5563909774436,362.5,626.6666666666666,0.41735574591544666
San Juan,209,210.29665071770336,191.75,120.75,0.28987418636772955
Santa Anita,74,271.94594594594594,186.75,270.7142857142857,0.3506173884080861
Santa Isabel,116,328.3103448275862,221.66666666666669,369.7142857142857,0.4156116787210847
Santa Maria de Cotocollao,42,247.28571428571428,274.0,194.66071428571428,0.3055418007757696
Santa Rita,40,258.875,247.66666666666666,108.79166666666669,0.2786431675519073
Sauces,101,345.66336633663366,320.0,352.83333333333337,0.3306454814821537
Sergio Toral,36,119.75,98.9125,80.66666666666666,0.22594010154900898
Solanda,33,193.06060606060606,215.0,171.0,0.3155729322736072
TerraNostra,45,792.9333333333333,810.0,814.5,0.4049112842454023
Turubamba,118,259.0593220338983,192.5,180.26666666666668,0.2869634741299343
Urbanor,73,344.7671232876712,350.0,341.6190476190477,0.29634826568201417
Urdenor,45,368.7111111111111,447.2857142857143,311.78571428571433,0.2867084538733526
Vergeles,36,195.16666666666666,175.33333333333334,92.63333333333333,0.2153904545023247
