neighborhood,hogares,ingpc_mean,ingpc_median,iqr,gini
Abel Gilbert,95,145.26315789473685,140.0,54.78571428571429,0.21203890160183064
Acacias,38,302.57894736842104,289.25,206.75,0.22042506248226237
Academia Logos,45,792.9333333333333,810.0,814.5,0.4049112842454023
Alborada,65,413.44615384615383,400.0,365.0,0.290425404022189
Arcadia,45,792.9333333333333,810.0,814.5,0.4049112842454023
Argelia,178,178.91573033707866,176.8,147.87121212121212,0.3058289934705366
Atahualpa,65,283.9230769230769,254.0,369.6666666666667,0.41754204614134177
Atarazana,41,460.1219512195122,438.3333333333333,640.0,0.3649059750602808
Balerio Estacio,86,130.4418604651163,116.42857142857143,76.5,0.27854320506494956
Barrio Lindo,31,220.67741935483872,213.33333333333334,84.33333333333331,0.1266839879097095
Bastion Popular,284,168.64084507042253,160.625,119.0,0.27012425326586825
Batallon del Suburbio,198,180.6919191919192,172.0,92.16666666666666,0.26520664057349636
Belisario Quevedo,53,409.20754716981133,410.0,317.5,0.23996749789467087
Bellavista,44,675.0,601.85,492.95238095238096,0.29739439853076216
Carcelen,145,460.3379310344828,334.0,298.25,0.39617992468956015
Centro Historico,68,298.3529411764706,317.6,177.41666666666669,0.26396217990350707
Cerro San Eduardo,43,148.95348837209303,130.0,118.5,0.2982880380516675
Cerro del Carmen,27,237.62962962962962,195.0,157.4,0.2718666297219913
Chillogallo,35,316.34285714285716,241.25,263.4,0.38308216350123864
Chimbacalle,136,355.18382352941177,320.2,232.91666666666669,0.2788127827468841
Ciudadela 9 de Octubre,37,274.0810810810811,275.6666666666667,222.16666666666669,0.23572226205102642
Colinas de la Florida,39,125.02564102564102,100.0,61.25,0.19128226162680634
Comite del Pueblo,107,216.88785046728972,187.5,174.5,0.29346648147171195
Cotocollao,65,296.8615384615385,265.6666666666667,230.0,0.3556440553642046
Cristo del Consuelo,113,209.99115044247787,191.66666666666666,101.14285714285714,0.29000882755390234
El Fortin,89,163.7078651685393,167.14285714285714,91.1,0.264825368426735
El Inca,70,225.88571428571427,231.0,123.0,0.2614668786816523
El Pintado,99,216.6060606060606,225.71428571428572,63.349999999999994,0.18154450681031542
El condado,122,231.14754098360655,213.75,139.41666666666666,0.2348378095570283
Estero Salado,84,134.9404761904762,126.33333333333333,54.4375,0.2211302959648791
Febres Cordero,317,247.05362776025237,197.5,178.33333333333334,0.3067258214435959
Flor de Bastion,280,125.925,120.0,76.0,0.2448215855728831
Floresta,169,251.9112426035503,235.0,195.25,0.26077908366791347
Florida,77,171.92207792207793,191.2,70.0,0.1737177311282161
Garzota,74,436.1621621621622,400.0,279.6428571428571,0.2818590836467897
Guamani,135,210.35555555555555,169.33333333333334,261.3,0.37497137252753837
Guanguala,25,234.6,240.0,132.7,0.2515942028985507
Guasmo Norte - Rio Guayas,132,231.00757575757575,195.6,165.02499999999998,0.2955805058090829
Guasmo Oeste,119,285.78991596638656,223.33333333333334,212.66666666666666,0.31372293690918696
Guasmo Sur,303,186.1947194719472,149.33333333333334,122.26666666666667,0.2918393918552392
