neighborhood,hogares,ingpc_mean,ingpc_median,iqr,gini
Abel Gilbert,138,183.3768115942029,165.75,108.0,0.2781333292098912
Acacias,41,246.34146341463415,180.25,169.25,0.29144409562907514
Alborada,58,337.0344827586207,298.57142857142856,253.75,0.3297682803779203
Argelia,157,161.96815286624204,159.57142857142858,113.81818181818181,0.3140012919699235
Atahualpa,94,456.3404255319149,390.0,532.0,0.4055546021252788
Atarazana,37,478.13513513513516,393.3333333333333,473.33333333333337,0.3385994099916433
Balerio Estacio,94,112.18085106382979,93.0,133.3,0.40480110569696226
Barrio Lindo,29,283.13793103448273,270.0,61.0,0.1608775444210668
Bastion Popular,295,182.70508474576272,165.0,133.65,0.27128788779307556
Batallon del Suburbio,182,151.54945054945054,153.33333333333334,90.85,0.24044049272459106
Belisario Quevedo,61,419.9672131147541,438.6,150.0,0.21046548981313093
Bellavista,37,496.2972972972973,490.6666666666667,369.9523809523809,0.19706489695053647
Carcelen,133,455.65413533834584,387.5,350.0,0.3222172126133955
Centro Historico,34,255.8235294117647,229.16666666666666,208.33333333333334,0.31793651008345397
Cerro San Eduardo,40,96.175,106.125,51.476190476190474,0.25112425266441385
Cerro del Carmen,26,239.46153846153845,261.66666666666663,107.69999999999999,0.3369986903555809
Chillogallo,31,197.96774193548387,150.0,129.35,0.20608472144107395
Chimbacalle,139,431.49640287769785,328.75,308.95833333333326,0.34379392347937654
Ciudadela 9 de Octubre,41,371.8780487804878,339.3333333333333,257.5,0.2619755665648741
Colinas de la Florida,38,136.57894736842104,120.0,137.75892857142856,0.3021853767366393
Comite del Pueblo,112,401.5982142857143,255.0,342.6333333333333,0.35569218016026527
Condor,20,463.45,486.25,48.93333333333334,0.035688855324198944
Cooperativa 5 de Diciembre,47,180.31914893617022,185.0,108.83333333333334,0.23729366723153203
Cotocollao,64,550.953125,501.5,511.25,0.35291292079067527
Cristo del Consuelo,108,232.67592592592592,187.6,208.16666666666669,0.3218149902060921
El Fortin,98,145.28571428571428,132.1,93.58333333333334,0.2674425438106132
El Inca,111,407.27027027027026,350.0,355.58333333333337,0.3248181488277049
El Pintado,111,235.88288288288288,244.0,136.66666666666663,0.2315487010518138
El condado,163,257.02453987730064,248.0,256.9,0.3421290591363011
Estero Salado,85,155.74117647058824,154.0,90.0,0.1981310487633639
Febres Cordero,315,231.95873015873016,210.75,174.9,0.2987364717010111
Flor de Bastion,301,129.7674418604651,113.33333333333333,112.44444444444446,0.3395144704543483
Floresta,178,205.45505617977528,187.6,119.0,0.24257262846259653
Florida,41,222.02439024390245,198.0,105.0,0.27042277673133763
Garzota,30,564.9333333333333,405.0,1006.625,0.4264101958933208
Guamani,126,225.57142857142858,208.0,229.28571428571428,0.3783842272864862
Guanguala,32,318.5625,255.36666666666667,269.5,0.3419536001569551
Guasmo Norte - Rio Guayas,130,208.97692307692307,173.25,145.0,0.2676355080116997
Guasmo Oeste,148,205.97972972972974,198.6,121.0,0.22148110058557818
Guasmo Sur,321,197.74454828660436,158.0,176.8,0.3262938537468671
Guasmo Sur - La Union,162,161.8148148148148,152.325,107.4,0.2832799738524415
Guayacanes,30,243.96666666666667,275.0,168.0,0.19471694675957554
Huancavilca Norte,37,332.7027027027027,290.5,275.2,0.23263881265505962
Isla Trinitaria,277,178.06859205776172,171.28571428571428,142.5,0.3298432082207272
Iñaquito,96,1152.0416666666667,980.0,836.0,0.2721671104741582
Juan Montalvo,158,183.44303797468353,132.64285714285714,152.975,0.3247977059364049
La Ecuatoriana,89,153.77528089887642,120.0,114.33333333333333,0.3045086671034289
La Ferroviaria,255,262.07450980392156,210.0,205.0,0.3258899286120649
La Luz,136,645.3161764705883,550.0,673.3333333333334,0.35318732736762304
La Mena,174,299.3448275862069,280.0,208.6,0.3084604551005609
La Paz,20,1173.55,550.0,1449.5,0.41176132248306424
La Tola,34,345.52941176470586,372.5,213.0,0.27725870736445757
La Vicentina,67,196.01492537313433,196.66666666666666,120.5,0.2635346074773471
Las Americas,41,246.34146341463415,180.25,169.25,0.29144409562907514
Los Esteros,78,281.12820512820514,283.1666666666667,212.95238095238096,0.2565681156979954
Lotizacion Industrial Pascuales,47,180.31914893617022,185.0,108.83333333333334,0.23729366723153203
Luz del Guayas,44,170.5909090909091,158.4,52.816666666666634,0.17241358428408787
Mapasingue,157,192.0828025477707,140.0,161.42857142857144,0.3089734846236754
MarcoPamba,90,284.65555555555557,245.0,266.66666666666663,0.3668722432569577
Monte Sinai,76,133.68421052631578,123.0,86.30000000000001,0.22814054082055535
Mucho Lote,168,276.44642857142856,252.0,204.64285714285717,0.2582789656137631
Nueva Prosperina,129,182.36434108527132,162.0,121.96666666666668,0.2653373864188683
Orquideas,38,411.60526315789474,406.6666666666667,495.33333333333337,0.3197163998802069
Parroquia Garcia Moreno,174,321.5057471264368,275.0,247.41666666666669,0.32150375779183443
Parroquia Letamendi,183,269.4808743169399,234.25,193.25,0.2791780729325087
Parroquia Sucre,97,361.87628865979383,317.5,300.0,0.29636987230733175
Parroquia Urdaneta,67,339.2835820895522,236.11111111111111,318.925,0.3581222866837728
Pascuales,74,265.18918918918916,201.66666666666669,241.9375,0.3706823415343595
Ponceano,150,475.32666666666665,386.0,375.0,0.3205454026938199
Pradera,38,340.0263157894737,323.3333333333333,143.34848484848487,0.22703147466995793
Prosperina,71,272.4366197183099,240.0,179.83333333333334,0.30659051241741925
Puerto Lisa,204,201.87254901960785,191.175,125.41666666666667,0.2758593845969255
Quitumbe,282,263.71985815602835,212.0,284.9375,0.39669034865343217
Rosales,38,233.18421052631578,227.41666666666669,148.3571428571429,0.19771737774636342
Samanes,38,359.3421052631579,353.5,168.70833333333331,0.23641234172946093
San Bartolo,69,201.31884057971016,180.0,83.36666666666665,0.26752281479302104
San Carlos,23,653.0869565217391,600.0,271.25,0.15425650466158972
San Francisco,34,143.3235294117647,167.0,82.25,0.185379220434326
San Isidro del Inca,112,726.9196428571429,516.6666666666666,746.6666666666666,0.41983674910730734
San Juan,243,275.4691358024691,225.5,267.8571428571429,0.3752722597325727
Santa Anita,71,432.9154929577465,424.0,296.75,0.23497807615449012
Santa Isabel,106,573.7452830188679,500.0,479.5833333333333,0.34063728457255465
Santa Maria de Cotocollao,39,135.46153846153845,109.28571428571429,83.33333333333333,0.21709692919232954
Santa Rita,31,248.38709677419354,260.0,105.08333333333329,0.2100460829493088
Sauces,139,349.9352517985611,301.75,288.5,0.3002029699609487
Sergio Toral,27,208.07407407407408,161.75,158.66666666666663,0.3115976424983189
Solanda,39,232.02564102564102,225.0,235.0,0.3457472280546654
Turubamba,122,328.23770491803276,180.0,390.5,0.42737985340262696
Urbanor,65,339.66153846153844,298.0,199.16666666666666,0.2873957367933272
Urdenor,39,351.9230769230769,326.0,315.66666666666663,0.3282817243472982
Vergeles,38,153.8421052631579,156.66666666666666,51.983333333333334,0.1498640545942345
