neighborhood,hogares,ingpc_mean,ingpc_median,iqr,gini
Abel Gilbert,120,205.89166666666668,193.0,129.38541666666666,0.20361334844376086
Acacias,34,435.0,240.0,635.0,0.45423179413753334
Alborada,64,415.6875,360.0,273.20000000000005,0.2840074565854759
Argelia,164,203.3048780487805,175.0,138.54166666666669,0.2943092722721361
Atahualpa,85,356.6,370.0,178.0,0.22147618705692168
Atarazana,27,664.4444444444445,431.6666666666667,568.5,0.36457533341591314
Balerio Estacio,83,110.59036144578313,107.66666666666667,57.712121212121204,0.23011405027452658
Barrio Lindo,40,274.425,251.0,112.41666666666666,0.1904277124897513
Bastion Popular,322,182.3664596273292,152.0,125.4375,0.2626930323975206
Batallon del Suburbio,226,220.92920353982302,202.71428571428572,174.25,0.3145052631205812
Belisario Quevedo,55,287.74545454545455,300.0,162.5,0.2404191032018657
Bellavista,32,804.5625,482.0,892.5,0.43307576905150313
Carcelen,141,543.0,422.0,632.4,0.3936025243384139
Centro Historico,28,247.53571428571428,255.33333333333334,180.1875,0.24619205639260466
Cerro San Eduardo,34,114.82352941176471,120.75,30.473214285714292,0.11246383799421407
Cerro del Carmen,48,279.4791666666667,263.5,170.0,0.2383168716610759
Chillogallo,31,357.4193548387097,325.0,213.5,0.2614766507511354
Chimbacalle,141,347.45390070921985,316.6666666666667,169.46428571428572,0.26343715468943424
Ciudadela 9 de Octubre,27,686.8148148148148,649.0,661.75,0.27225138209823285
Colinas de la Florida,43,179.8139534883721,186.66666666666666,119.16666666666666,0.2135071403650188
Comite del Pueblo,113,229.90265486725664,230.0,145.0,0.30269308737111356
Condor,33,502.45454545454544,426.0,436.1333333333334,0.32072306199319045
Cooperativa 5 de Diciembre,35,151.85714285714286,115.2,81.75,0.20395645746539443
Cotocollao,62,539.3548387096774,375.75,624.5,0.4058636556567371
Cristo del Consuelo,121,209.74380165289256,186.66666666666666,175.7,0.31597250150527917
El Fortin,97,150.22680412371133,129.16666666666666,127.00000000000001,0.30866709492289973
El Inca,112,270.86607142857144,242.14285714285714,157.14999999999998,0.2895229893717714
El Pintado,104,259.0769230769231,233.75,176.17613636363637,0.2890939041659054
