neighborhood,hogares,ingpc_mean,ingpc_median,iqr,gini
El Rio,50,1054.86,1037.5,425.0,0.20810572019035703
El condado,161,205.8447204968944,193.4,136.66666666666666,0.2644413545661573
Estero Salado,84,179.38095238095238,180.57142857142858,61.428571428571416,0.16414239574247536
Febres Cordero,300,267.4433333333333,220.0,240.47619047619045,0.332390745287683
Flor de Bastion,302,159.90728476821192,137.71428571428572,105.88333333333334,0.2488988756587273
Floresta,168,220.25595238095238,195.0,150.0,0.3028321062770972
Florida,39,188.94871794871796,176.66666666666666,97.02083333333331,0.13322964184682193
Garzota,30,433.26666666666665,220.33333333333334,495.66666666666663,0.38458224342206493
Guamani,109,209.6697247706422,182.5,202.21428571428572,0.3308468675910827
Guanguala,45,370.26666666666665,324.5,206.33333333333331,0.2563597807386067
Guasmo Norte - Rio Guayas,134,221.02985074626866,197.66666666666669,184.7361111111111,0.2902268991325364
Guasmo Oeste,169,224.20118343195267,206.66666666666666,184.3,0.33438574134718846
Guasmo Sur,321,193.4018691588785,180.0,127.08333333333334,0.2872842480164662
Guasmo Sur - La Union,112,189.375,173.33333333333334,112.0,0.24752517343571093
Guayacanes,31,314.258064516129,325.0,256.5333333333333,0.26940881186217314
Huancavilca Norte,36,406.69444444444446,380.0,198.16666666666669,0.1727986096881664
Isla Trinitaria,286,160.6993006993007,141.0,132.49999999999997,0.33153076253598446
Iñaquito,93,1245.6344086021506,1102.5,971.5,0.306251213626928
Juan Montalvo,162,226.7283950617284,194.85714285714286,131.10714285714286,0.23376339857417994
La Ecuatoriana,92,153.77173913043478,145.6,98.0,0.24017152200036274
La Ferroviaria,248,249.0201612903226,215.75,187.91666666666666,0.33952903079551644
La Luz,125,562.44,433.3333333333333,664.75,0.3592029016428418
La Mena,189,271.83597883597884,250.0,267.0,0.34579232899492945
La Paz,16,1163.1875,840.0,622.125,0.27382327655687494
La Tola,35,376.1142857142857,312.5,275.225,0.26629118374788385
La Vicentina,65,242.84615384615384,216.66666666666666,198.26666666666668,0.35623693379790944
Las Americas,34,435.0,240.0,635.0,0.45423179413753334
Los Esteros,80,271.675,249.6,164.57142857142858,0.2438696282322628
Lotizacion Industrial Pascuales,35,151.85714285714286,115.2,81.75,0.20395645746539443
Luz del Guayas,49,234.18367346938774,207.5,120.33333333333334,0.2575145613801076
Mapasingue,169,203.9171597633136,173.5,148.9333333333333,0.29487053573114924
MarcoPamba,108,232.07407407407408,170.0,189.25,0.364348379260205
Monte Sinai,76,120.25,99.875,52.6375,0.1820408198524542
Mucho Lote,160,292.2,234.0,233.51428571428573,0.3065072082477755
Nueva Prosperina,138,157.59420289855072,140.0,94.8888888888889,0.25733833929090266
Orquideas,31,385.93548387096774,275.5,428.08333333333337,0.34164590545831036
Parroquia Garcia Moreno,170,288.9529411764706,241.75,233.16666666666669,0.3417754594203628
Parroquia Letamendi,174,283.8045977011494,241.75,206.0,0.2837142948917587
Parroquia Sucre,90,304.5888888888889,281.5,218.875,0.29001811792458565
Parroquia Urdaneta,70,226.61428571428573,200.0,152.375,0.3143226375843157
Pascuales,69,158.8985507246377,171.8,61.03571428571429,0.15742297585246057
Ponceano,167,432.16766467065867,285.0,454.2499999999999,0.43371100176192534
Pradera,45,320.31111111111113,208.0,195.69047619047618,0.25309035968117416
Prosperina,82,286.4390243902439,249.6,273.25,0.315847324217452
Puerto Lisa,199,243.76884422110552,212.25,209.80555555555554,0.31434993976271797
Quitumbe,276,241.54347826086956,206.0,192.66666666666669,0.32472101894931993
Rosales,38,262.39473684210526,314.0,202.10000000000002,0.23331345111349228
Samanes,27,350.7037037037037,366.2,108.33333333333331,0.16435698556302633
San Bartolo,68,202.27941176470588,175.0,81.36363636363637,0.24315756837085978
San Carlos,23,401.0869565217391,341.6666666666667,227.5,0.23494756686697302
San Francisco,32,199.4375,212.5,106.375,0.2733713961140708
San Isidro del Inca,114,410.6578947368421,281.0,291.66666666666663,0.3867490739023143
San Juan,250,219.544,207.25,185.875,0.33525051925809857
Santa Anita,71,287.6619718309859,257.5,209.16666666666663,0.2954388099060481
Santa Isabel,109,366.88990825688074,280.25,378.5,0.39836738495519286
Santa Maria de Cotocollao,36,143.97222222222223,140.83333333333334,39.33333333333334,0.13027633073938305
Santa Rita,23,215.65217391304347,170.0,124.25,0.19935133239831698
Sauces,134,388.2835820895522,367.5,291.85,0.29438068163889375
Sergio Toral,35,158.54285714285714,153.0,132.23333333333335,0.2725536132636511
Solanda,38,295.89473684210526,298.75,111.33333333333334,0.16244453182047977
Turubamba,98,232.55102040816325,206.75,152.5,0.2564403470910083
Urbanor,70,440.07142857142856,418.0,351.975,0.2670707445451805
Urdenor,41,462.3170731707317,435.5,355.1,0.23635954217627114
Vergeles,38,207.07894736842104,173.7,28.912499999999994,0.15655369839008504
Vista Sol,36,1074.4722222222222,947.6,975.3000000000002,0.2655710957719696
